sku_x,name_x,brand_x,product_sku,sku_y,name_y,brand_y,category
363e8413-360e-5081-9171-474d2856b7aa,Sazonador garlic parmesan mix,McCormick,1970564,1970564,Sazonador Af Garlic Parmesano Mix 35 g,Importado Jumbo,productosimportados
80058f37-274f-5804-bc7b-0d749abaf1e9,Salmón ahumado,Cuisine & Co,1784280,1784280,Salmón Ahumado 100 g,Cuisine & Co,pescaderia
3ec0414a-860b-509f-8c13-b09b0cba8635,Trucha filete,Entre Ríos,1730508,1730508,Trucha Filete Congelada 500 g,Entre Ríos,pescaderia
65efe2f9-11d7-5de2-84af-9c653e75aa66,Galletas classic rellenas de chocolate,Grisbi Vicenzi,670075,670075,Galletas Matilde Vicenzi Grisbi Rellenas Sabor Chocolate 150 g,Matilde Vicenzi,productosimportados
7fa97544-e131-5c3e-8125-7e009d9d92a5,Gomitas gusanitos ácidos,Trolli,1864435,,,,
